SPATIAL,RAC_WHITE,RAC_BLACK,RAC_INDIAN,RAC_ASIAN,RAC_PACIFIC,RAC_OTHER,RAC_HISPANIC,EDU_ELEMENTAR,EDU_HIGH,EDU_COLLEGE,EDU_BACHELOR,INC_A,INC_B,INC_C,INC_D,INC_E,INC_F,INC_G,INC_H,INC_I,INC_J
2090,0.7152571143285072,0.03976035946080879,0.0600199700449326,0.028836744882675985,0.005032451323015477,0.076345481777334,0.07474787818272591,0.03005739070640819,0.2730422363862368,0.33812911586575334,0.3587712570416017,0.031,0.033999999999999996,0.062,0.067,0.13,0.188,0.159,0.175,0.095,0.059
2100,0.7689873417721519,0.00039556962025316455,0.04746835443037975,0.033623417721518986,0.001977848101265823,0.13132911392405064,0.016218354430379747,0.01162227602905569,0.34285714285714286,0.2271186440677966,0.41840193704600487,0.045,0.044,0.05,0.191,0.132,0.184,0.116,0.14,0.030000000000000002,0.067
2105,0.4831514000949217,0.03464641670621737,0.30802088277171336,0.022781205505457997,0.00047460844803037496,0.10109159943046986,0.04983388704318937,0.04139941690962099,0.4174927113702624,0.2577259475218659,0.28338192419825076,0.043000000000000003,0.022000000000000002,0.14,0.118,0.12200000000000001,0.202,0.152,0.109,0.08100000000000002,0.011000000000000001
2110,0.6566228016234166,0.011191735333907268,0.11643709260853524,0.06487516910589103,0.009961874308203174,0.07794244250399705,0.06296888451604969,0.027059102777118444,0.2673471002452726,0.2842392594350819,0.4213545375425271,0.03,0.021,0.03899999999999999,0.044,0.09200000000000001,0.182,0.172,0.252,0.091,0.07799999999999999
2122,0.8140083626836928,0.005604039072123809,0.07130836094869615,0.013203324253517706,0.003296493571837535,0.054166594375140965,0.03841282509499107,0.03776520190291525,0.37765201902915246,0.29204337925281265,0.2925393998151196,0.047,0.046000000000000006,0.088,0.08299999999999999,0.109,0.195,0.14,0.17400000000000002,0.06899999999999999,0.048999999999999995
2130,0.6458621946773605,0.004958075100255195,0.12942034269048486,0.07561064527889172,0.0007291286912139992,0.0971928545388261,0.04622675902296755,0.042114188807235726,0.38044092707744487,0.29611833427548523,0.2813265498398342,0.03200000000000001,0.04699999999999999,0.08099999999999999,0.10400000000000002,0.11999999999999997,0.184,0.146,0.16699999999999995,0.060000000000000005,0.05899999999999999
2150,0.5077597355941945,0.0011495904583991954,0.12537720936916225,0.2187095847104469,0.00977151889639316,0.05022273315131484,0.0870096278200891,0.06307102858826996,0.328519500933294,0.3143727281658316,0.2940367423126044,0.029999999999999995,0.029999999999999995,0.08,0.08900000000000001,0.094,0.183,0.135,0.23800000000000002,0.07400000000000001,0.047
2158,0.0372826222945077,0.00350306518203428,0.8841486300512948,0.0038783935943950956,0.0,0.05780057550356562,0.013386713374202427,0.1329286162863722,0.6361733305421813,0.17584257902449235,0.05505547414695416,0.099,0.07100000000000001,0.138,0.14500000000000002,0.191,0.17399999999999996,0.086,0.06999999999999999,0.02,0.005
2164,0.20269312544294826,0.007795889440113395,0.6810772501771793,0.028348688873139617,0.0007087172218284905,0.058823529411764705,0.020552799433026223,0.09128205128205129,0.49333333333333335,0.2676923076923077,0.1476923076923077,0.071,0.053000000000000005,0.143,0.111,0.17300000000000001,0.19200000000000006,0.128,0.08800000000000002,0.023999999999999997,0.017
2170,0.8037475045349061,0.009839986217938974,0.05041599529788506,0.013285501474477853,0.001773426970277364,0.07571013082824106,0.04522745467627357,0.04031559838011451,0.3851277754503561,0.3041335009076945,0.27042312526183493,0.04400000000000001,0.038,0.078,0.071,0.10600000000000001,0.17,0.154,0.19799999999999998,0.085,0.055999999999999994
