SPATIAL,INC_TOTAL,INC_A,INC_B,INC_C,INC_D,INC_E,INC_F,INC_G,INC_H,INC_I,INC_J
06093,1120,7.839999999999999,10.080000000000002,24.640000000000004,15.679999999999998,87.36,220.64,128.8,272.15999999999997,147.84,203.84
06095,10786,291.22200000000004,161.79,733.4480000000001,798.1640000000001,981.526,1768.9039999999998,1758.1180000000002,2416.064,1132.53,755.0200000000001
06096,5084,233.864,132.184,386.384,467.728,518.568,996.464,889.6999999999999,838.86,355.88000000000005,259.284
06098,5298,386.75399999999996,148.344,598.674,434.4359999999999,603.972,1022.514,805.2959999999999,905.9580000000001,286.09200000000004,105.96000000000001
06103,1049,57.695,19.931,38.813,81.822,74.479,206.653,220.29,243.368,32.519,73.43
06105,9764,1991.8559999999998,947.108,1015.4560000000001,1171.68,1279.084,1659.88,585.84,537.02,244.10000000000002,341.74
06106,13835,2600.98,1438.8400000000001,2282.775,1438.8400000000001,1853.89,1923.0650000000003,1037.625,885.44,235.19500000000002,124.51500000000001
06107,7500,277.50000000000006,150.0,300.0,300.0,457.5,1005.0000000000001,795.0,1395.0000000000002,1057.5,1755.0
06108,9153,942.7590000000001,402.732,933.606,1455.327,1034.289,1775.6819999999998,1272.267,832.923,375.27299999999997,128.142
06109,10820,486.9,324.59999999999997,789.8599999999999,746.58,1287.5800000000002,1493.16,1558.0800000000002,2261.38,1038.72,833.14
06110,4848,344.20799999999997,198.76799999999997,358.75200000000007,426.624,557.52,814.464,804.768,683.568,353.904,305.424
06111,12617,391.127,290.191,820.105,782.254,1375.253,2132.2729999999997,2258.4429999999998,2775.7400000000002,1160.764,630.85
06112,7436,1189.76,580.008,944.372,847.7040000000001,1204.632,1204.632,654.368,557.6999999999999,156.156,89.232
06114,9569,1071.7279999999998,985.6070000000001,1521.471,1301.384,1531.04,1483.195,851.6410000000001,545.433,181.811,105.25900000000001
06117,5494,203.27800000000002,203.27800000000002,269.206,225.25399999999996,225.25399999999996,576.87,626.316,933.98,615.328,1604.2479999999998
06118,10375,788.5,373.50000000000006,1047.875,954.5,1660.0,2023.125,1286.5,1556.25,425.37499999999994,269.75
06119,6611,409.882,218.163,376.827,469.381,528.88,1137.0919999999999,1070.982,1031.316,647.878,720.599
06120,4396,975.912,395.64,923.16,584.668,628.628,439.6,197.82,215.404,30.772,0.0
06160,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06226,6540,981.0,660.54,1079.1000000000001,791.34,863.2800000000001,1111.8000000000002,490.5,464.34,71.94000000000001,26.16
06231,1305,6.525,19.575,40.455,32.625,113.535,250.56,134.41500000000002,263.60999999999996,293.625,151.38
06232,1195,0.0,9.56,88.43,17.925,101.575,156.54500000000002,217.48999999999998,359.695,144.595,97.98999999999998
06234,2970,314.82,89.1,187.11,133.65,270.27,498.96000000000004,501.92999999999995,751.41,112.86,109.89000000000001
06235,827,36.388000000000005,33.907,37.214999999999996,37.214999999999996,95.105,138.10899999999998,118.26100000000001,208.404,86.835,37.214999999999996
