SPATIAL,RAC_TOTAL,RAC_WHITE,RAC_BLACK,RAC_INDIAN,RAC_ASIAN,RAC_PACIFIC,RAC_OTHER,RAC_HISPANIC
01835,13153,11085,284,0,376,0,193,1215
01840,5524,446,206,37,14,0,38,4783
01841,47836,6233,857,5,641,0,216,39884
01843,25963,6480,1031,16,1573,0,325,16538
01844,49057,33523,900,0,1723,0,621,12290
01845,29705,24940,715,9,1668,0,620,1753
01850,16394,9078,1488,47,1073,0,255,4453
01851,30026,11839,2172,151,10992,0,672,4200
01852,34332,19251,1978,120,4432,0,1656,6895
01854,29204,14163,1707,3,6617,0,895,5819
01860,6695,6533,10,0,0,0,4,148
01862,11134,9155,387,0,394,0,263,935
01863,9103,7650,88,0,860,20,100,385
01864,15476,13880,162,43,890,0,320,181
01867,24935,22954,34,9,1080,0,399,459
01876,29692,27154,466,20,1037,0,433,582
01879,12133,10654,103,6,989,0,260,121
01880,26062,23952,282,0,619,0,321,888
01886,23850,18975,110,0,3952,0,279,534
01887,23310,21160,354,0,1096,0,322,378
01890,22491,18744,184,9,2681,11,487,375
01901,1637,576,296,0,35,0,78,652
01902,47081,14009,6407,79,3963,86,1593,20944
01904,17103,12173,740,0,786,0,358,3046
01905,26209,9135,3108,84,2329,30,1145,10378
01906,27773,24093,642,88,1138,0,294,1518
01907,14418,13348,86,0,165,0,358,461
01908,3471,3309,47,0,19,0,10,86
01913,17082,16020,147,0,142,0,434,339
01915,40967,37435,415,0,824,0,617,1676
01921,8198,7622,0,0,276,0,185,115
01922,2829,2723,0,0,51,0,0,55
01923,27419,25002,400,15,663,0,333,1006
01929,3632,3538,0,0,39,0,37,18
01930,29546,27933,265,18,301,0,447,582
01937,139,124,0,0,0,0,0,15
01938,13682,13009,106,8,81,0,185,293
01940,13143,11908,244,0,612,0,85,294
01944,5321,5165,0,0,23,0,33,100
01945,20363,18969,286,0,191,0,195,722
01949,9514,8010,271,0,144,2,154,933
01950,17837,16463,247,0,359,0,325,443
01951,4076,3979,27,0,0,0,50,20
01952,8899,8235,81,0,215,13,158,197
01960,51948,44151,1078,0,801,2,1132,4784
01966,7167,6863,127,10,0,0,25,142
01969,6145,5996,0,0,46,0,34,69
