SPATIAL,EDU_TOTAL,EDU_ELEMENTAR,EDU_HIGH,EDU_COLLEGE,EDU_BACHELOR
02666,774,80,169,166,359
02667,2660,12,625,467,1556
02668,2516,88,581,502,1345
02669,206,0,71,23,112
02670,1217,8,372,215,622
02671,845,0,135,194,516
02672,222,13,0,56,153
02673,7265,123,2543,1801,2798
02675,5592,102,1358,1242,2890
02702,3552,208,1352,630,1362
02703,33640,1702,11801,6912,13225
02713,40,0,11,6,23
02715,2669,58,1014,558,1039
02717,3526,189,1500,682,1155
02718,5343,389,2090,1049,1815
02719,13079,750,4794,2959,4576
02720,24901,3204,10127,4604,6966
02721,20393,3312,9439,3966,3676
02723,10948,1990,5268,1848,1842
02724,14186,2814,6601,2511,2260
02725,2072,269,643,726,434
02726,12881,737,5250,2606,4288
02738,3833,168,902,568,2195
02739,4935,102,1250,917,2666
02740,34062,5459,13254,6986,8363
02743,8592,734,3729,1684,2445
02744,8646,2070,3686,1277,1613
02745,19331,2422,8444,3828,4637
02746,11228,2493,5444,1962,1329
02747,19910,1572,6680,6138,5520
02748,9838,878,3225,1698,4037
02760,20280,636,6245,4345,9054
02762,7054,134,2143,1244,3533
02763,1456,26,217,349,864
02764,3037,110,1224,702,1001
02766,15501,345,4659,4339,6158
02767,10617,223,3740,2096,4558
02769,9304,427,2500,2200,4177
02770,3977,88,1375,672,1842
02771,11656,277,3856,2453,5070
02777,13140,908,4861,3082,4289
02779,5041,249,1693,1117,1982
02780,39524,3196,17001,8614,10713
02790,12815,827,4408,2587,4993
02791,251,0,8,37,206
02802,814,29,210,427,148
02804,1769,49,719,509,492
02806,11932,220,1741,1488,8483
02807,792,16,167,177,432
02808,1798,0,1039,281,478
02809,19061,991,5778,4777,7515
02812,1001,17,187,163,634
02813,6366,157,1975,1230,3004
02814,6153,162,2311,1490,2190
02815,146,0,16,0,130
02816,26251,755,10264,5820,9412
02817,4502,129,1434,802,2137
02818,14213,311,2962,2318,8622
02822,5278,196,1719,1044,2319
02825,4392,109,1459,1053,1771
02826,405,0,144,33,228
02827,1737,45,640,336,716
02828,6165,193,1841,1414,2717
02830,4587,103,1717,941,1826
02831,2731,58,807,551,1315
02832,3779,153,1219,781,1626
02833,714,46,288,73,307
02835,4464,34,743,730,2957
02836,165,0,35,0,130
02837,2929,58,576,525,1770
02838,2788,175,1220,549,844
02839,1478,149,733,243,353
02840,19574,982,5017,4294,9281
02841,1442,0,120,103,1219
02842,12361,397,3495,2872,5597
02852,17560,501,4208,3572,9279
02857,7421,163,2409,1376,3473
02858,535,22,70,280,163
02859,5810,242,2472,1344,1752
02860,35261,4564,14639,7738,8320
02861,20130,1373,8576,4688,5493
02863,13537,3417,6350,2301,1469
02864,27174,1423,8186,5685,11880
02865,12994,387,3784,2608,6215
02871,13533,425,3338,2633,7137
02872,239,0,50,63,126
02873,286,0,76,61,149
02874,4510,22,750,708,3030
02875,361,0,58,40,263
02876,209,0,63,82,64
02878,12986,539,4808,2484,5155
02879,16945,369,4318,3315,8943
02881,7219,84,2030,3817,1288
02882,12057,125,2018,3465,6449
02885,8645,371,2998,1943,3333
02886,23705,918,7212,4958,10617
02888,16204,680,5194,3992,6338
02889,22377,566,8398,5264,8149
02891,17375,655,5854,3946,6920
02892,3846,136,1460,761,1489
02893,23797,1237,9029,6384,7147
02894,671,65,235,214,157
02895,32232,2805,15382,6983,7062
02896,9765,384,3535,1983,3863
02898,1062,38,534,132,358
02903,10367,645,2827,3082,3813
02904,23394,1522,8960,5428,7484
02905,19627,1987,6754,5282,5604
02906,24433,579,3562,5100,15192
02907,20474,4297,7482,4948,3747
02908,28593,2431,10153,8471,7538
02909,31678,6976,13143,6431,5128
02910,16298,1174,6050,3696,5378
02911,13045,446,4729,3098,4772
02912,1371,0,409,921,41
02914,17347,2254,7722,3671,3700
02915,13939,814,4991,3166,4968
02916,6717,307,1866,1079,3465
02917,11904,332,3852,3783,3937
02919,23860,1001,10238,5488,7133
02920,30919,1918,12731,6315,9955
02921,9886,417,2811,1611,5047
03031,8431,145,1289,1479,5518
03032,4138,50,1135,834,2119
03033,3733,57,882,736,2058
03034,3151,97,965,749,1340
03036,3756,59,1119,916,1662
03037,3326,142,1114,556,1514
03038,26303,825,9819,6193,9466
03042,5239,182,1878,1179,2000
03043,1264,24,296,295,649
03044,3551,63,1139,896,1453
03045,10872,508,3553,2485,4326
03046,2180,62,577,489,1052
03047,1336,36,589,270,441
03048,2755,86,1229,626,814
03049,6055,110,985,648,4312
03051,19148,742,6127,3910,8369
03052,6288,55,2273,1347,2613
03053,18963,467,5197,3965,9334
03054,20035,390,5470,3831,10344
03055,11340,336,3743,2351,4910
03057,1930,58,588,364,920
03060,23145,1852,9016,5333,6944
03062,22038,816,5655,4813,10754
